Team,,G,,Rush,,RushYds,,Avg,,Rush/G,,Y/G,,TD,,1stD
UCF,,3,,87,,251,,2.9,,29,,83.7,,2,,16
UTSA,,3,,96,,258,,2.7,,32,,86,,2,,19
Michigan,,4,,126,,277,,2.2,,31.5,,69.3,,1,,18
Northern Illinois,,3,,131,,293,,2.2,,43.7,,97.7,,3,,20
Wisconsin,,4,,122,,297,,2.4,,30.5,,74.3,,2,,17
Utah,,4,,131,,348,,2.7,,32.8,,87,,3,,20
Alabama,,5,,131,,369,,2.8,,26.2,,73.8,,1,,22
Kentucky,,5,,141,,370,,2.6,,28.2,,74,,4,,26
South Florida,,5,,158,,372,,2.4,,31.6,,74.4,,5,,20
TCU,,4,,134,,378,,2.8,,33.5,,94.5,,4,,20
Florida St.,,3,,113,,379,,3.4,,37.7,,126.3,,4,,18
Michigan St.,,4,,125,,384,,3.1,,31.3,,96,,4,,19
Texas,,4,,118,,386,,3.3,,29.5,,96.5,,4,,20
Miami (FL),,3,,111,,389,,3.5,,37,,129.7,,1,,28
Duke,,5,,147,,400,,2.7,,29.4,,80,,5,,21
Georgia Tech,,4,,106,,407,,3.8,,26.5,,101.8,,5,,21
N.C. State,,5,,149,,428,,2.9,,29.8,,85.6,,3,,27
Fresno St.,,4,,119,,428,,3.6,,29.8,,107,,6,,25
Minnesota,,4,,110,,439,,4,,27.5,,109.8,,3,,23
W. Kentucky,,4,,133,,447,,3.4,,33.3,,111.8,,5,,26
Georgia,,5,,158,,452,,2.9,,31.6,,90.4,,2,,26
Clemson,,5,,175,,460,,2.6,,35,,92,,2,,31
Iowa St.,,4,,139,,462,,3.3,,34.8,,115.5,,2,,32
Boise St.,,4,,147,,463,,3.1,,36.8,,115.8,,5,,26
Arizona,,4,,131,,472,,3.6,,32.8,,118,,6,,29
Oregon,,5,,181,,474,,2.6,,36.2,,94.8,,8,,28
Texas A&M,,5,,156,,479,,3.1,,31.2,,95.8,,6,,27
Kansas St.,,4,,142,,482,,3.4,,35.5,,120.5,,4,,27
S. Diego St.,,4,,140,,495,,3.5,,35,,123.8,,6,,26
Georgia St.,,3,,100,,498,,5,,33.3,,166,,5,,25
Washington,,5,,177,,511,,2.9,,35.4,,102.2,,2,,38
Virginia,,4,,147,,516,,3.5,,36.8,,129,,5,,27
East. Michigan,,4,,148,,518,,3.5,,37,,129.5,,2,,24
Navy,,4,,132,,518,,3.9,,33,,129.5,,5,,26
Louisville,,5,,168,,523,,3.1,,33.6,,104.6,,5,,28
Maryland,,4,,137,,527,,3.8,,34.3,,131.8,,6,,23
Purdue,,4,,139,,528,,3.8,,34.8,,132,,6,,26
Nebraska,,5,,157,,529,,3.4,,31.4,,105.8,,5,,33
Southern Miss,,4,,144,,532,,3.7,,36,,133,,6,,28
SMU,,5,,176,,533,,3,,35.2,,106.6,,7,,32
Oklahoma,,4,,152,,537,,3.5,,38,,134.3,,4,,34
Troy,,5,,157,,544,,3.5,,31.4,,108.8,,2,,35
Marshall,,4,,145,,555,,3.8,,36.3,,138.8,,5,,29
Florida,,4,,134,,564,,4.2,,33.5,,141,,2,,29
Colorado,,4,,150,,569,,3.8,,37.5,,142.3,,3,,30
Arkansas,,4,,129,,571,,4.4,,32.3,,142.8,,8,,34
Virginia Tech,,5,,179,,578,,3.2,,35.8,,115.6,,2,,32
Northwestern,,4,,152,,580,,3.8,,38,,145,,6,,35
Texas Tech,,4,,155,,580,,3.7,,38.8,,145,,6,,33
Auburn,,5,,196,,584,,3,,39.2,,116.8,,2,,35
Appalachian St.,,4,,154,,591,,3.8,,38.5,,147.8,,3,,29
Arkansas St.,,3,,131,,592,,4.5,,43.7,,197.3,,6,,30
Colorado St.,,4,,132,,596,,4.5,,33,,149,,5,,28
Ohio,,5,,172,,610,,3.5,,34.4,,122,,5,,34
Rice,,5,,163,,611,,3.7,,32.6,,122.2,,11,,33
Houston,,4,,144,,623,,4.3,,36,,155.8,,2,,31
New Mexico,,5,,173,,627,,3.6,,34.6,,125.4,,5,,36
Indiana,,4,,167,,628,,3.8,,41.8,,157,,5,,36
LSU,,5,,158,,630,,4,,31.6,,126,,7,,30
Hawaii,,4,,144,,636,,4.4,,36,,159,,8,,36
Penn St.,,5,,198,,637,,3.2,,39.6,,127.4,,3,,39
North Texas,,5,,191,,642,,3.4,,38.2,,128.4,,9,,37
Washington St.,,5,,162,,643,,4,,32.4,,128.6,,8,,36
South Alabama,,5,,162,,645,,4,,32.4,,129,,5,,36
Connecticut,,4,,145,,648,,4.5,,36.3,,162,,8,,35
Syracuse,,5,,182,,660,,3.6,,36.4,,132,,7,,40
Wake Forest,,5,,195,,662,,3.4,,39,,132.4,,2,,40
Middle Tenn. St.,,5,,210,,671,,3.2,,42,,134.2,,10,,49
Ohio St.,,5,,204,,673,,3.3,,40.8,,134.6,,4,,33
Iowa,,5,,164,,674,,4.1,,32.8,,134.8,,3,,33
Florida Intl.,,4,,160,,675,,4.2,,40,,168.8,,8,,32
Oklahoma St.,,5,,199,,680,,3.4,,39.8,,136,,9,,42
Kansas,,4,,153,,701,,4.6,,38.3,,175.3,,8,,35
Texas St.,,5,,190,,707,,3.7,,38,,141.4,,8,,36
