Team,,G,,Rush,,RushYds,,Avg,,Rush/G,,Y/G,,TD,,1stD,,Lng
Army,,5,,290,,1818,,6.3,,58,,363.6,,18,,90,,71
Navy,,4,,260,,1600,,6.2,,65,,400,,16,,80,,54
Georgia Tech,,4,,268,,1584,,5.9,,67,,396,,16,,76,,65
Alabama,,5,,237,,1578,,6.7,,47.4,,315.6,,18,,75,,61
South Florida,,5,,302,,1546,,5.1,,60.4,,309.2,,17,,81,,75
Notre Dame,,5,,211,,1507,,7.1,,42.2,,301.4,,20,,50,,73
Tulsa,,5,,270,,1475,,5.5,,54,,295,,19,,68,,71
Stanford,,5,,162,,1364,,8.4,,32.4,,272.8,,16,,45,,75
New Mexico,,5,,228,,1334,,5.9,,45.6,,266.8,,12,,54,,65
Oregon,,5,,247,,1304,,5.3,,49.4,,260.8,,25,,72,,68
Texas A&M,,5,,241,,1278,,5.3,,48.2,,255.6,,15,,63,,79
Mississippi St.,,5,,222,,1264,,5.7,,44.4,,252.8,,8,,66,,59
Clemson,,5,,228,,1234,,5.4,,45.6,,246.8,,19,,61,,81
UNLV,,4,,190,,1225,,6.4,,47.5,,306.3,,13,,57,,62
Ohio St.,,5,,195,,1205,,6.2,,39,,241,,11,,70,,52
Georgia,,5,,238,,1187,,5,,47.6,,237.4,,13,,55,,44
Arizona,,4,,193,,1184,,6.1,,48.3,,296,,15,,52,,66
Air Force,,4,,239,,1099,,4.6,,59.8,,274.8,,12,,64,,43
Florida Atlantic,,5,,204,,1099,,5.4,,40.8,,219.8,,14,,66,,60
Duke,,5,,248,,1091,,4.4,,49.6,,218.2,,11,,69,,65
Ohio,,5,,219,,1080,,4.9,,43.8,,216,,16,,54,,63
North Texas,,5,,194,,1078,,5.6,,38.8,,215.6,,12,,52,,62
Louisville,,5,,177,,1051,,5.9,,35.4,,210.2,,10,,55,,74
W. Michigan,,5,,220,,1045,,4.8,,44,,209,,12,,57,,71
Auburn,,5,,230,,1042,,4.5,,46,,208.4,,15,,52,,67
SMU,,5,,207,,995,,4.8,,41.4,,199,,14,,50,,51
Charlotte,,5,,192,,985,,5.1,,38.4,,197,,5,,48,,63
Tulane,,4,,189,,977,,5.2,,47.3,,244.3,,10,,49,,75
LSU,,5,,199,,964,,4.8,,39.8,,192.8,,11,,55,,25
Virginia Tech,,5,,220,,963,,4.4,,44,,192.6,,9,,51,,46
Wake Forest,,5,,230,,961,,4.2,,46,,192.2,,9,,48,,59
Wisconsin,,4,,185,,935,,5.1,,46.3,,233.8,,10,,53,,64
Maryland,,4,,163,,934,,5.7,,40.8,,233.5,,12,,41,,74
TCU,,4,,179,,929,,5.2,,44.8,,232.3,,12,,55,,42
West Virginia,,4,,160,,924,,5.8,,40,,231,,12,,49,,42
Oklahoma St.,,5,,184,,921,,5,,36.8,,184.2,,11,,47,,73
Kansas St.,,4,,160,,916,,5.7,,40,,229,,10,,46,,38
Buffalo,,5,,204,,911,,4.5,,40.8,,182.2,,10,,38,,75
S. Diego St.,,4,,185,,908,,4.9,,46.3,,227,,8,,41,,95
Troy,,5,,174,,908,,5.2,,34.8,,181.6,,13,,40,,74
USC,,5,,186,,906,,4.9,,37.2,,181.2,,12,,46,,86
Penn St.,,5,,170,,895,,5.3,,34,,179,,10,,40,,80
Hawaii,,4,,164,,862,,5.3,,41,,215.5,,9,,39,,66
Washington,,5,,171,,859,,5,,34.2,,171.8,,13,,43,,57
LA Monroe,,4,,171,,857,,5,,42.8,,214.3,,15,,40,,67
N.C. State,,5,,191,,841,,4.4,,38.2,,168.2,,13,,48,,46
UAB,,4,,190,,838,,4.4,,47.5,,209.5,,12,,46,,41
Coastal Car.,,4,,169,,830,,4.9,,42.3,,207.5,,9,,46,,45
Oklahoma,,4,,147,,823,,5.6,,36.8,,205.8,,11,,37,,99
Arkansas,,4,,172,,821,,4.8,,43,,205.3,,10,,46,,33
