ORG_ID,ORG_NAME,OPPONENT_ID,OPPONENT_NAME,GAME_DATE,LOC
721,Air Force,741,VMI,9/2/2017,H
721,Air Force,418,Michigan,9/16/2017,A
721,Air Force,626,S. Diego St.,9/23/2017,H
721,Air Force,473,New Mexico,9/30/2017,A
721,Air Force,726,Navy,10/7/2017,A
721,Air Force,465,UNLV,10/14/2017,H
721,Air Force,466,Nevada,10/20/2017,A
721,Air Force,156,Colorado St.,10/28/2017,A
721,Air Force,725,Army,11/4/2017,H
721,Air Force,811,Wyoming,11/11/2017,H
721,Air Force,66,Boise St.,11/18/2017,A
721,Air Force,731,Utah St.,11/25/2017,H
5,Akron,539,Penn St.,9/2/2017,A
5,Akron,2678,Ark.-Pine Bluff,9/9/2017,H
5,Akron,311,Iowa St.,9/16/2017,H
5,Akron,716,Troy,9/23/2017,A
5,Akron,71,Bowling Green,9/30/2017,A
5,Akron,47,Ball St.,10/7/2017,H
5,Akron,774,W. Michigan,10/14/2017,A
5,Akron,709,Toledo,10/21/2017,A
5,Akron,86,Buffalo,10/28/2017,H
5,Akron,414,Miami (OH),11/7/2017,A
5,Akron,519,Ohio,11/14/2017,H
5,Akron,331,Kent St.,11/21/2017,H
8,Alabama,234,Florida St.,9/2/2017,N
8,Alabama,96,Fresno St.,9/9/2017,H
8,Alabama,156,Colorado St.,9/16/2017,H
8,Alabama,736,Vanderbilt,9/23/2017,A
8,Alabama,433,Mississippi,9/30/2017,H
8,Alabama,697,Texas A&M,10/7/2017,A
8,Alabama,31,Arkansas,10/14/2017,H
8,Alabama,694,Tennessee,10/21/2017,H
8,Alabama,365,LSU,11/4/2017,H
8,Alabama,430,Mississippi St.,11/11/2017,A
8,Alabama,406,Mercer,11/18/2017,H
8,Alabama,37,Auburn,11/25/2017,A
27,Appalachian St.,257,Georgia,9/2/2017,A
27,Appalachian St.,632,Savannah St.,9/9/2017,H
27,Appalachian St.,670,Texas St.,9/16/2017,A
27,Appalachian St.,749,Wake Forest,9/23/2017,H
27,Appalachian St.,472,N. Mex. St.,10/7/2017,H
27,Appalachian St.,295,Idaho,10/14/2017,A
27,Appalachian St.,149,Coastal Car.,10/21/2017,H
27,Appalachian St.,400,UMass,10/28/2017,A
27,Appalachian St.,498,LA Monroe,11/4/2017,A
27,Appalachian St.,253,Georgia Southern,11/9/2017,H
27,Appalachian St.,254,Georgia St.,11/25/2017,A
27,Appalachian St.,671,La Lafayette,12/2/2017,H
29,Arizona,501,Northern Ariz.,9/2/2017,H
29,Arizona,288,Houston,9/9/2017,H
29,Arizona,704,UTEP,9/15/2017,A
29,Arizona,732,Utah,9/22/2017,H
29,Arizona,157,Colorado,10/7/2017,A
29,Arizona,110,UCLA,10/14/2017,H
29,Arizona,107,California,10/21/2017,A
29,Arizona,754,Washington St.,10/28/2017,H
29,Arizona,657,USC,11/4/2017,A
29,Arizona,528,Oregon St.,11/11/2017,H
29,Arizona,529,Oregon,11/18/2017,A
29,Arizona,28,Arizona St.,11/25/2017,A
28,Arizona St.,472,N. Mex. St.,8/31/2017,H
28,Arizona St.,626,S. Diego St.,9/9/2017,H
28,Arizona St.,700,Texas Tech,9/16/2017,A
28,Arizona St.,529,Oregon,9/23/2017,H
