Team,,G,,PR,,Yds,,Avg,,KR,,Yds,,Avg
Boston Coll.,,9,,14,,253,,18.1,,20,,424,,21.2
Washington,,10,,7,,250,,35.7,,9,,180,,20
Penn St.,,12,,13,,219,,16.8,,9,,278,,30.9
Wake Forest,,8,,14,,207,,14.8,,10,,196,,19.6
Indiana,,9,,9,,187,,20.8,,13,,237,,18.2
Pittsburgh,,7,,9,,184,,20.4,,17,,349,,20.5
Utah,,7,,9,,175,,19.4,,3,,41,,13.7
Boise St.,,11,,13,,170,,13.1,,13,,329,,25.3
Virginia Tech,,11,,15,,163,,10.9,,10,,243,,24.3
Michigan,,8,,11,,162,,14.7,,8,,141,,17.6
Kansas St.,,11,,10,,155,,15.5,,10,,255,,25.5
Wyoming,,10,,12,,154,,12.8,,9,,316,,35.1
Arizona,,8,,6,,140,,23.3,,7,,181,,25.9
Maryland,,15,,11,,136,,12.4,,18,,399,,22.2
Alabama,,9,,11,,131,,11.9,,5,,98,,19.6
Coastal Car.,,11,,13,,131,,10.1,,21,,466,,22.2
South Florida,,12,,11,,125,,11.4,,9,,119,,13.2
Colorado,,12,,8,,121,,15.1,,11,,193,,17.5
Texas,,10,,6,,119,,19.8,,11,,199,,18.1
Old Dominion,,8,,12,,117,,9.8,,10,,271,,27.1
Arkansas St.,,7,,5,,115,,23,,9,,167,,18.6
Tennessee,,9,,8,,109,,13.6,,10,,283,,28.3
Rutgers,,13,,9,,108,,12,,18,,251,,13.9
La Lafayette,,10,,5,,107,,21.4,,15,,430,,28.7
Clemson,,11,,13,,106,,8.2,,6,,101,,16.8
Kentucky,,9,,5,,104,,20.8,,8,,193,,24.1
LSU,,8,,5,,99,,19.8,,9,,191,,21.2
Mississippi St.,,9,,9,,96,,10.7,,7,,141,,20.1
Auburn,,12,,10,,95,,9.5,,7,,142,,20.3
Utah St.,,15,,10,,95,,9.5,,17,,306,,18
W. Michigan,,11,,8,,93,,11.6,,15,,437,,29.1
Louisiana Tech,,9,,7,,91,,13,,14,,272,,19.4
Ball St.,,11,,6,,87,,14.5,,16,,402,,25.1
Oregon,,16,,12,,82,,6.8,,9,,243,,27
Louisville,,12,,13,,82,,6.3,,11,,227,,20.6
Georgia,,11,,12,,81,,6.8,,8,,202,,25.3
Stanford,,11,,11,,79,,7.2,,15,,361,,24.1
