Team,,G,,Pts/G,,Yds/G,,PassYds,,RushYds,,Int,,IntTD
Alabama,,5,,8.6,,249,,876,,369,,8,,1
Georgia,,5,,9.2,,244,,768,,452,,4,,0
Penn St.,,5,,9.4,,289.2,,809,,637,,7,,0
Clemson,,5,,10.8,,250,,790,,460,,5,,2
Washington,,5,,10.8,,256,,769,,511,,8,,2
Auburn,,5,,11,,259.2,,712,,584,,4,,1
UCF,,3,,13.3,,309.3,,677,,251,,6,,1
Wisconsin,,4,,13.5,,247,,691,,297,,7,,2
Michigan,,4,,13.5,,203.3,,536,,277,,3,,2
UTSA,,3,,13.7,,207,,363,,258,,4,,0
Minnesota,,4,,13.8,,283.3,,694,,439,,3,,1
Wake Forest,,5,,14.4,,316.8,,922,,662,,5,,1
Virginia Tech,,5,,14.4,,315.4,,999,,578,,4,,0
Houston,,4,,14.8,,364.5,,835,,623,,6,,0
Kansas St.,,4,,15,,308.5,,752,,482,,4,,1
Ohio St.,,5,,16,,335.6,,1005,,673,,6,,0
Colorado,,4,,16,,341.8,,798,,569,,5,,0
Miami (FL),,3,,16.3,,376,,739,,389,,2,,0
Northern Illinois,,3,,16.7,,303.3,,617,,293,,6,,2
Utah,,4,,17.3,,296.5,,838,,348,,9,,1
East. Michigan,,4,,17.8,,301.8,,689,,518,,5,,1
Appalachian St.,,4,,17.8,,302.8,,620,,591,,3,,0
Michigan St.,,4,,18,,248.3,,609,,384,,2,,1
Notre Dame,,5,,18.2,,385.8,,1208,,721,,5,,1
Duke,,5,,18.4,,291,,1055,,400,,8,,3
Buffalo,,5,,18.4,,365.2,,782,,1044,,3,,0
TCU,,4,,18.5,,323.5,,916,,378,,6,,2
Troy,,5,,18.6,,339.8,,1155,,544,,5,,1
Kentucky,,5,,18.8,,349.4,,1377,,370,,6,,0
Georgia Tech,,4,,19,,260,,633,,407,,4,,0
Iowa,,5,,19.2,,376.8,,1210,,674,,5,,0
LSU,,5,,19.4,,310.2,,921,,630,,4,,0
Oklahoma,,4,,19.5,,332.8,,794,,537,,2,,1
S. Diego St.,,4,,19.5,,291,,669,,495,,5,,0
South Florida,,5,,20,,293.8,,1097,,372,,14,,1
