Team,,G,,Pts/G,,Yds/G,,PassYds,,RushYds,,1stD/G,,3rdM,,3rdD%,,4thM,,4thD%,,Pen,,PenYds,,TOP
Oregon,,5,,49.6,,537.4,,1383,,1304,,27.2,,28,,43.8,,1,,20,,52,,467,,6:22
West Virginia,,4,,48.8,,594.8,,1455,,924,,28.3,,24,,40.7,,4,,66.7,,23,,238,,7:48
SMU,,5,,48.2,,499.2,,1501,,995,,24.6,,35,,45.5,,6,,75,,34,,317,,10:36
Oklahoma,,4,,48,,605.5,,1599,,823,,26.5,,16,,45.7,,1,,16.7,,22,,228,,9:41
TCU,,4,,47.8,,497,,1059,,929,,27.5,,36,,63.2,,1,,20,,26,,228,,15:04
Oklahoma St.,,5,,46.8,,583.4,,1996,,921,,27.8,,35,,54.7,,3,,60,,29,,261,,16:09
UCF,,3,,46.3,,539.3,,870,,748,,25.3,,19,,42.2,,5,,83.3,,32,,280,,20:58
Alabama,,5,,46.2,,508.6,,965,,1578,,25.6,,30,,44.1,,8,,100,,26,,205,,3:44
UCLA,,4,,45,,571.8,,1807,,480,,27.8,,24,,44.4,,4,,66.7,,40,,370,,15:31
South Florida,,5,,44.8,,510,,1004,,1546,,27,,38,,43.7,,5,,71.4,,48,,409,,6:45
Washington,,5,,44,,443.4,,1358,,859,,23,,24,,48,,2,,66.7,,22,,188,,17:19
Ohio St.,,5,,42.6,,564.8,,1619,,1205,,27,,27,,42.2,,6,,60,,37,,383,,7:03
Texas Tech,,4,,42.3,,536.5,,1643,,503,,26.8,,20,,40.8,,1,,16.7,,40,,367,,13:55
Toledo,,4,,42,,521.8,,1348,,739,,26.3,,29,,49.2,,1,,25,,41,,357,,20:05
Penn St.,,5,,41.4,,471.2,,1461,,895,,21.2,,23,,34.8,,5,,71.4,,21,,202,,6:37
Notre Dame,,5,,41.4,,468,,833,,1507,,21,,31,,41.3,,4,,66.7,,28,,253,,6:31
Ohio,,5,,41.4,,421.4,,1027,,1080,,22.2,,31,,47,,4,,80,,27,,245,,12:07
Miami (FL),,3,,41.3,,515.3,,836,,710,,24.7,,11,,37.9,,1,,100,,21,,217,,9:55
Arizona,,4,,41.3,,478.8,,731,,1184,,24.3,,27,,44.3,,9,,81.8,,20,,196,,18:52
La Lafayette,,4,,41,,448.5,,982,,812,,22.8,,20,,37.7,,4,,66.7,,20,,140,,17:00
Washington St.,,5,,41,,495.8,,2070,,409,,26.6,,42,,53.8,,4,,66.7,,27,,251,,8:58
Wisconsin,,4,,40.8,,459.8,,904,,935,,23.8,,25,,51,,1,,50,,21,,186,,15:59
Louisville,,5,,40,,575.4,,1826,,1051,,28.8,,32,,45.7,,6,,54.5,,37,,305,,8:13
Stanford,,5,,39,,461.2,,942,,1364,,18.6,,24,,44.4,,2,,50,,35,,254,,13:49
Maryland,,4,,38.8,,407.3,,695,,934,,20.5,,16,,34.8,,3,,50,,28,,231,,12:38
North Texas,,5,,38.8,,510.8,,1476,,1078,,24.4,,24,,36.4,,7,,63.6,,32,,269,,10:58
LA Monroe,,4,,38.3,,423,,835,,857,,20.8,,25,,41,,4,,66.7,,26,,229,,0:00
Kansas St.,,4,,37.5,,408.3,,717,,916,,19,,17,,37.8,,1,,33.3,,24,,215,,9:03
Texas A&M,,5,,37.4,,448.2,,963,,1278,,23.4,,37,,44,,3,,60,,23,,184,,7:55
UTSA,,3,,37.3,,482,,702,,744,,23.3,,18,,46.2,,0,,0,,32,,308,,21:19
W. Michigan,,5,,37.2,,368,,795,,1045,,19.8,,29,,42,,3,,60,,30,,266,,10:36
UNLV,,4,,36.5,,482.3,,704,,1225,,23,,21,,42.9,,2,,100,,28,,229,,4:12
Georgia Tech,,4,,36.5,,479.3,,333,,1584,,24.3,,32,,53.3,,4,,80,,17,,130,,11:04
Clemson,,5,,36.4,,474.6,,1139,,1234,,23.6,,37,,49.3,,4,,80,,22,,165,,14:41
Memphis,,4,,35.5,,459,,1104,,732,,22.8,,19,,37.3,,4,,50,,32,,315,,10:37
UAB,,4,,35.5,,399.3,,759,,838,,20.3,,31,,49.2,,3,,50,,29,,285,,12:41
Virginia Tech,,5,,35.4,,474.2,,1408,,963,,23.8,,30,,40.5,,5,,71.4,,20,,169,,8:21
Arkansas,,4,,35.3,,408.3,,812,,821,,22.3,,25,,50,,3,,60,,19,,173,,4:54
Utah,,4,,35,,442.8,,1111,,660,,23.8,,17,,32.7,,3,,60,,37,,365,,15:01
Tulsa,,5,,35,,455.4,,802,,1475,,23,,43,,51.2,,8,,61.5,,31,,290,,12:58
USC,,5,,35,,459,,1389,,906,,23,,31,,46.3,,1,,16.7,,39,,366,,3:04
Arkansas St.,,3,,35,,472.3,,1055,,362,,26,,15,,40.5,,0,,0,,26,,192,,10:15
N.C. State,,5,,34.8,,461.2,,1465,,841,,25.4,,27,,41.5,,6,,66.7,,28,,238,,15:47
Navy,,4,,34.5,,496.3,,385,,1600,,23.3,,25,,48.1,,4,,80,,15,,153,,10:08
Texas,,4,,34.5,,443.5,,1061,,713,,23.5,,34,,47.2,,4,,44.4,,37,,334,,20:45
Utah St.,,5,,34.4,,408.8,,1232,,812,,20,,33,,37.5,,6,,60,,33,,278,,9:56
Air Force,,4,,34.3,,386,,445,,1099,,21.8,,23,,43.4,,4,,66.7,,15,,149,,20:05
Auburn,,5,,34.2,,431,,1113,,1042,,20,,37,,47.4,,4,,57.1,,21,,212,,10:47
Wake Forest,,5,,34,,419,,1134,,961,,20.8,,29,,38.7,,2,,66.7,,32,,252,,9:26
Duke,,5,,33.6,,445.8,,1138,,1091,,26.4,,37,,40.7,,8,,72.7,,25,,243,,16:34
Fresno St.,,4,,33.3,,425.8,,1136,,567,,21,,17,,33.3,,2,,50,,18,,136,,15:06
Georgia,,5,,33,,387,,748,,1187,,18.2,,32,,43.8,,2,,40,,33,,298,,7:45
Syracuse,,5,,33,,460.2,,1585,,716,,24.2,,40,,42.1,,10,,62.5,,36,,303,,6:51
Iowa St.,,4,,32.8,,409,,1181,,455,,21.8,,20,,37,,4,,66.7,,20,,201,,9:32
Arizona St.,,5,,32.6,,426.8,,1487,,647,,21.2,,35,,43.8,,4,,50,,19,,187,,7:52
Kansas,,4,,32.3,,480.5,,1227,,695,,23.3,,26,,38.8,,10,,83.3,,29,,207,,17:04
Michigan,,4,,31.5,,407.3,,892,,737,,19,,22,,35.5,,4,,100,,28,,252,,15:44
Virginia,,4,,31.3,,433.5,,1249,,485,,22.3,,35,,50.7,,5,,50,,20,,183,,9:50
Mississippi St.,,5,,31.2,,422,,846,,1264,,21.6,,31,,41.3,,4,,40,,31,,222,,14:42
Hawaii,,4,,30.8,,480.3,,1059,,862,,22.5,,25,,43.9,,4,,36.4,,38,,368,,10:41
Minnesota,,4,,30.8,,367.8,,748,,723,,19.5,,23,,41.8,,4,,100,,16,,156,,5:34
Colorado St.,,4,,30.5,,479.5,,1227,,691,,26.5,,32,,54.2,,2,,28.6,,29,,262,,10:23
New Mexico,,5,,30.4,,428.6,,809,,1334,,20.2,,18,,30.5,,5,,45.5,,31,,252,,0:00
Northwestern,,4,,30.3,,405.3,,1115,,506,,23,,20,,36.4,,5,,62.5,,20,,189,,13:15
Indiana,,4,,30.3,,391,,977,,587,,20.8,,25,,36.8,,3,,50,,19,,161,,7:44
N. Mex. St.,,5,,30,,449.6,,1757,,491,,21.4,,39,,50.6,,2,,66.7,,39,,339,,12:43
Nebraska,,5,,30,,385,,1144,,781,,21.2,,30,,40,,5,,71.4,,27,,264,,8:11
Boise St.,,4,,29.8,,351.3,,937,,468,,18,,22,,36.7,,1,,11.1,,29,,218,,13:51
Southern Miss,,4,,29.5,,447.5,,1109,,681,,21.8,,20,,32.3,,3,,37.5,,31,,293,,18:45
Florida Atlantic,,5,,29.4,,408.8,,945,,1099,,21.6,,18,,28.6,,6,,50,,32,,268,,5:58
Purdue,,4,,29.3,,392,,1019,,549,,21.3,,17,,31.5,,5,,71.4,,23,,221,,11:23
Louisiana Tech,,5,,29.2,,416,,1343,,737,,21,,26,,37.7,,2,,50,,17,,132,,14:11
S. Diego St.,,4,,29,,396.3,,677,,908,,20.3,,25,,45.5,,0,,0,,29,,242,,10:42
Army,,5,,28.8,,386.8,,116,,1818,,20.2,,28,,45.2,,9,,69.2,,21,,178,,16:31
Coastal Car.,,4,,28.5,,369,,646,,830,,19.8,,18,,35.3,,2,,33.3,,29,,289,,14:07
N. Carolina,,5,,28.4,,395.2,,1264,,712,,19.8,,19,,28.8,,7,,63.6,,33,,335,,10:19
Connecticut,,4,,27.8,,467,,1319,,549,,21.5,,19,,37.3,,4,,36.4,,14,,127,,11:35
